"","Name","Description","posRNAaverage","negRNAaverage","RPPA_transform_pos","RPPA_transform_neg"
"1","ENSG00000237330.2","RNF223",5.57234777777778,2.16725454545455,-2.05092756664931,-0.276123213232043
"2","ENSG00000248333.3","CDK11B",9.74972222222222,9.87181818181818,-1.81993595541937,-0.0945275942027228
"3","ENSG00000008128.18","CDK11A",9.96916666666667,9.42818181818182,-1.80780158095239,-0.104984048828943
"4","ENSG00000130762.10","ARHGEF16",11.3327527777778,9.08545454545455,-1.73240088200973,-0.11306208857092
"5","ENSG00000158286.8","RNF207",3.92444444444444,4.83318181818182,-2.14204983763081,-0.213287634706463
"6","ENSG00000252404.1","SCARNA16",0,0,-2.35905546100991,-0.32720513679724
"7","ENSG00000120948.11","TARDBP",46.3638888888889,55.2363636363636,0.204676744412406,0.974709172811643
"8","ENSG00000225602.1","MTOR-AS1",0.0249333333333333,0.0233818181818182,-2.35767675031098,-0.326654030213251
"9","ENSG00000253085.1","SCARNA11",0.00183333333333333,0,-2.35895408522323,-0.32720513679724
"10","ENSG00000251866.1","SCARNA21",0.00989722222222222,0.00510909090909091,-2.35850818536149,-0.327084716151749
"11","ENSG00000142632.12","ARHGEF19",8.19927777777778,10.465,-1.9056691510205,-0.0805463715723772
"12","ENSG00000074964.12","ARHGEF10L",4.50761111111111,5.06272727272727,-2.109803121484,-0.207877276523839
"13","ENSG00000176378.8","PFN1P10",0.0149305555555556,0.00874545454545454,-2.35822986274713,-0.326999007507272
"14","ENSG00000215906.4","LACTBL1",0.00467472222222222,0.0109836363636364,-2.35879696811383,-0.326946253836597
"15","ENSG00000188529.10","SRSF10",5.80333333333333,7.68636363636364,-2.03815501624517,-0.146038489533529
"16","ENSG00000252190.1","SCARNA17",0.00538611111111111,0,-2.3587576312366,-0.32720513679724
"17","ENSG00000252691.1","SCARNA18",0,0,-2.35905546100991,-0.32720513679724
"18","ENSG00000117713.13","ARID1A",16.2841666666667,20.1036363636364,-1.4586080757216,0.146635104195039
"19","ENSG00000252947.1","SCARNA1",0.0939,0.0752090909090909,-2.35386317753546,-0.32543246775784
"20","ENSG00000252777.1","SCARNA24",0.00824166666666667,0.011,-2.35859973076886,-0.326945868147696
"21","ENSG00000175130.6","MARCKSL1",99.9811111111111,146.381818181818,3.16948842588762,3.12299634663302
"22","ENSG00000224333.1","GAPDHP20",0.00655194444444444,0.00981,-2.35869316545225,-0.326973916301602
"23","ENSG00000134684.6","YARS",19.8241666666667,26.4909090909091,-1.26286064761123,0.297182338219265
"24","ENSG00000214114.4","MYCBP",13.6358333333333,15.4981818181818,-1.60505000758006,0.0380851059646468
"25","ENSG00000116990.9","MYCL",1.14651388888889,1.53254545454545,-2.29565796241025,-0.291083228582318
"26","ENSG00000117407.12","ARTN",2.04245,2.42097272727273,-2.2461163834551,-0.270143106835256
"27","ENSG00000187147.13","RNF220",7.26833333333333,8.15545454545454,-1.95714654670232,-0.134982074395968
"28","ENSG00000229815.1","CCNB1IP1P1",0.0100861111111111,0.00789090909090909,-2.35849774058346,-0.327019149038724
"29","ENSG00000237130.1","MRPS6P2",0.0172666666666667,0.0259636363636364,-2.35810068541894,-0.326593177075673
"30","ENSG00000236973.2","GAPDHP51",0.00841111111111111,0.0382327272727273,-2.35859036118857,-0.326303996109207
"31","ENSG00000162396.5","PARS2",3.41027777777778,2.78545454545455,-2.17048113780597,-0.261552315127694
"32","ENSG00000236646.1","LAMTOR5P1",0.134019444444444,0.0897545454545454,-2.35164473740348,-0.325089633179931
"33","ENSG00000228431.1","ARL5AP3",0.0212805555555556,0.0566727272727273,-2.35787873388597,-0.325869367573063
"34","ENSG00000116754.9","SRSF11",29.8844444444444,31.5181818181818,-0.706568698154754,0.415674539209014
"35","ENSG00000171517.5","LPAR3",0.912019444444444,1.87675454545455,-2.30862453992612,-0.282970262567716
"36","ENSG00000143032.7","BARHL2",0.0152341666666667,0.0126427272727273,-2.35821307430246,-0.326907149267554
"37","ENSG00000224678.3","GAPDHP46",0.0146377777777778,0.00615818181818182,-2.35824605215306,-0.327059989207818
"38","ENSG00000233401.1","PRKAR1AP",0.00722888888888889,0.00629454545454545,-2.35865573321102,-0.32705677513365
"39","ENSG00000233125.2","ACTBP12",0.0679644444444444,0.145054545454545,-2.35529730699778,-0.323786218969044
"40","ENSG00000137936.12","BCAR3",11.0372222222222,12.5154545454545,-1.74874250522386,-0.0322174096677882
"41","ENSG00000137962.8","ARHGAP29",12.8539694444444,16.53,-1.64828386220785,0.0624049338350563
"42","ENSG00000178596.10","GAPDHP29",0.0095925,0.00791818181818182,-2.35852503524603,-0.327018506223891
"43","ENSG00000252765.1","SCARNA16",0,0,-2.35905546100991,-0.32720513679724
"44","ENSG00000270066.2","SCARNA2",1.14377777777778,0.721754545454545,-2.29580925809189,-0.310193470769791
"45","ENSG00000031698.8","SARS",50.5361111111111,48.1454545454545,0.435383458961824,0.807577316081076
"46","ENSG00000134222.12","PSRC1",15.7644444444444,20.6454545454545,-1.48734657525036,0.159405692222143
"47","ENSG00000224699.4","LAMTOR5-AS1",0.168283333333333,0.132863636363636,-2.34975008539019,-0.324073557199654
"48","ENSG00000134248.9","LAMTOR5",45.0305555555556,38.7818181818182,0.130948899549743,0.586877556552249
"49","ENSG00000188761.7","BCL2L15",0.1644975,1.88286363636364,-2.34995942638969,-0.282826272044994
"50","ENSG00000231072.1","GAPDHP64",0.0193875,0.02372,-2.35798341206571,-0.326646059309315
"51","ENSG00000116874.7","WARS2",3.77527777777778,4.20636363636364,-2.15029814027482,-0.228061662298222
