"","gene","ensembl","Antibody","max_FC_log2","is_max"
"97","ABHD11","ENSG00000106077.14",NA,1.50154042512195,0
"98","ABHD11-AS1","ENSG00000225969.1",NA,2.56846518062006,0
"99","ABHD12","ENSG00000100997.14",NA,0.0987091666860085,0
"100","ABHD12B","ENSG00000131969.10",NA,3.02116849400134,0
"101","ABHD13","ENSG00000139826.5",NA,0.0720418440371144,0
"102","ABHD14A","ENSG00000248487.4",NA,-0.356925970743696,0
"103","ABHD14A-ACY1","ENSG00000114786.11",NA,-0.0281577959118313,0
"104","ABHD14B","ENSG00000114779.15",NA,0.00235519332090828,0
"105","ABHD15","ENSG00000168792.4",NA,0.411925526847445,0
"106","ABHD15-AS1","ENSG00000264031.1",NA,-0.156924501988925,0
"107","ABHD16A","ENSG00000204427.7",NA,-0.147748229388257,0
"108","ABHD16B","ENSG00000183260.5",NA,0.854939529164239,0
"109","ABHD17A","ENSG00000129968.11",NA,0.359425835907524,0
"110","ABHD17AP1","ENSG00000198658.4",NA,0.285402218862248,0
"111","ABHD17AP3","ENSG00000250536.1",NA,-0.00927781358801072,0
"112","ABHD17AP4","ENSG00000229107.2",NA,-1.17339719334912,0
"113","ABHD17AP6","ENSG00000226981.2",NA,-2.54843662469604,0
"114","ABHD17B","ENSG00000107362.9",NA,-0.197604083873536,0
"115","ABHD17C","ENSG00000136379.7",NA,0.963190106850102,0
"116","ABHD18","ENSG00000164074.10",NA,0.245824785096282,0
"117","ABHD2","ENSG00000140526.12",NA,-1.10439606370997,0
"118","ABHD3","ENSG00000158201.5",NA,-0.526224387656835,0
"119","ABHD4","ENSG00000100439.6",NA,-0.0497909705905437,0
"120","ABHD5","ENSG00000011198.3",NA,0.150919730220453,0
"121","ABHD6","ENSG00000163686.9",NA,-1.48951233798092,0
"122","ABHD8","ENSG00000127220.5",NA,-0.938834548537027,0
"123","ABI1","ENSG00000136754.12",NA,-0.4861362081973,0
"124","ABI1P1","ENSG00000271484.1",NA,0.222392421336448,0
"125","ABI2","ENSG00000138443.11",NA,-0.72243654913187,0
"126","ABI3","ENSG00000108798.4",NA,0.587389238115696,0
"127","ABI3BP","ENSG00000154175.12",NA,-2.04887955966759,0
"128","ABITRAM","ENSG00000119328.7",NA,0.191768090914751,0
"130","ABL1","ENSG00000097007.13",NA,-0.192558540391761,0
"131","ABL2","ENSG00000143322.15",NA,-1.12533646480185,0
"132","ABLIM1","ENSG00000099204.14",NA,0.0695153966293285,0
"133","ABLIM2","ENSG00000163995.14",NA,-1.03036577232928,0
"134","ABLIM3","ENSG00000173210.15",NA,0.653047048790096,0
"135","ABO","ENSG00000175164.9",NA,-5.58547765696333,0
"136","ABR","ENSG00000159842.10",NA,-0.242745049595946,0
