entrez	max_FC_log2
100506492	14.6449124644095
4250	12.4852301050928
7031	12.0904140540771
91074	11.7223331944758
128822	11.4060721055025
5816	10.7951394901772
7033	10.7007715800265
317716	10.408190716887
2249	10.2408906879033
101929520	10.0614209086884
2331	10.0028827575246
1826	9.98548619910463
80341	9.89161862569186
56914	9.72541359895262
3747	9.36927925675233
57497	9.31910757582498
6966	9.2237000759863
283463	9.17274449009339
389396	8.91722998403293
2940	8.78408950628023
158763	8.77684423240217
247	8.64048231619506
866	8.61968364911911
56955	8.55394921742159
6512	8.48052984471279
353513	8.45483238406548
7021	8.4181751984233
5304	8.40288568288713
9547	8.34840641048206
6658	8.28096404430075
7069	8.25180464414476
7363	8.16950749455446
101060039	8.15523988804674
100507584	8.08374792310472
7200	7.93233780156894
4583	7.92304445142135
30010	7.86352667933936
388468	7.84189189797398
105447648	7.78135971352466
114770	7.75780667219723
653067	7.74065175463421
1440	7.71738614331512
64409	7.64385618977473
101929350	7.63329799807615
160777	7.57301594922428
390836	7.47843258056735
1041	7.45114977145345
100128977	7.44086916761087
7783	7.41174635713583
8537	7.35930418200368
1237	7.34482427087389
93426	7.33166342149008
641372	7.32465788764293
9084	7.32192809488736
1556	7.29249746132905
10143	7.26944065344031
7366	7.16980572608853
79306	7.14494142961086
58475	7.12128681846103
6898	7.0533136847019
100420458	7.00297124442749
54102	6.98912413604233
5733	6.92577919373612
4857	6.90659589740692
4246	6.88336738478104
125981	6.87523739433843
189	6.87523739433843
3158	6.83216135033575
121549	6.82310181919352
946	6.81527654417333
124274	6.81110705691871
100421806	6.79276447679691
5241	6.78305019418422
4107	6.77923916962554
85320	6.77634163875804
399706	6.77038859570366
101927715	6.7613137713229
68	6.7294319214808
2155	6.71609394205849
1008	6.71509792244181
148930	6.70274987882829
157855	6.69696752623429
3211	6.68533282575088
196475	6.67360353316878
1501	6.67209789580906
10822	6.66447422085322
171523	6.63540012169225
2255	6.61611119929182
1081	6.60757690721075
5075	6.60424433387587
54055	6.60115173882049
100271846	6.59390979798729
114824	6.57846754294169
402160	6.57616938226315
106479468	6.56958046862555
7278	6.53599153202935
440224	6.43308308982073
121355	6.42346612134943
319	6.41362792902417
11122	6.40821178197244
7380	6.38280491348911
50604	6.37536456570636
138009	6.34182765232507
1470	6.3371758685863
153328	6.32292017364213
9207	6.30073387261824
222008	6.29615145995394
6886	6.27390658002442
6967	6.27364021173596
254958	6.2662659940391
9576	6.26563896404082
100421399	6.23840473932508
344697	6.23396199377184
344454	6.22480562798926
100506013	6.22444024998531
57758	6.22291140629861
729862	6.22078137143046
143425	6.2126990251326
400830	6.18267022969199
2892	6.16234715628432
157724	6.14635653030391
163223	6.13442632022093
1087	6.13404596297093
646360	6.12354664739582
80129	6.109949340885
4586	6.10913506054153
100271702	6.10078746976037
2674	6.07583218452673
26	6.06426872336601
29949	6.05750581492932
90070	6.05472605483834
2167	6.01773636429681
4110	5.9894057639037
200810	5.96883066531673
143379	5.96770659679312
145978	5.96613240435754
2173	5.93518446667266
146723	5.92679015304622
319102	5.90689059560852
27202	5.89866582834679
139628	5.8968369309446
57628	5.89316361249701
9687	5.88134874625833
3754	5.87144960026814
729238	5.85442317571438
5121	5.81636866562259
101927244	5.81378119121704
103724390	5.81246820077522
654429	5.79820175991395
646168	5.7922480296674
40	5.77725531519192
388336	5.76671293756026
100505495	5.76210515644471
3642	5.76200259397064
440915	5.76114413230326
9370	5.75933340719466
94160	5.73759162804059
222546	5.73696559416621
347	5.72925760224573
105370479	5.69763988228552
90134	5.69058005536557
10718	5.68766728425521
132112	5.68727847006585
164832	5.66487820509282
101927994	5.63488138608285
51314	5.63178335747415
400935	5.62014012080092
6445	5.61907697039106
338591	5.6171613231093
1733	5.6136169679244
645668	5.61248280151521
8688	5.60321420527738
213	5.59744746973089
8419	5.59626907086121
646643	5.58290361749142
123099	5.55043214468017
8000	5.5222750931605
374470	5.48515844375567
100130954	5.47167521439204
7369	5.46488604872941
5077	5.46216141139287
3505	5.45121111183233
374864	5.4318457869654
90993	5.43127587800324
57379	5.42794133250948
7451	5.42066204847272
9369	5.40136256238177
91181	5.38945208908437
389434	5.36981542428391
259	5.36620600001831
124857	5.35167543828141
57687	5.33925617902735
105377466	5.33687843635333
399717	5.33587627031707
7365	5.32942263143429
92747	5.30803736054678
4886	5.30710833236126
10590	5.30682120249715
101927207	5.27612440527424
7123	5.27365614968349
100131320	5.27301849440642
101927274	5.26052755022322
100419006	5.26052755022322
390748	5.2482790045017
219995	5.24544936504
340602	5.22881869049588
572558	5.22881869049588
100129662	5.22614455619756
1641	5.2126990251326
55511	5.2126990251326
431707	5.20185164289561
1548	5.18089581807535
400046	5.17575744674447
8825	5.16995481874002
23783	5.15587232542411
80736	5.13394258769298
9058	5.12756449971867
101927796	5.11200502551313
100130693	5.10328780841202
155465	5.09996687831637
11326	5.09451759878429
9623	5.08466420789767
4137	5.0691047165072
2099	5.04950218903287
101669766	5.04074634234331
51237	5.02501316681626
284680	5.00664064549825
163720	4.98823913548978
642976	4.98316636289032
196993	4.98220616648823
64711	4.97587310228567
3881	4.97218205586024
286514	4.96578428466209
150622	4.96578428466209
22917	4.96494769719829
284485	4.96274383034204
10202	4.95942354128764
64902	4.94641895979516
100508631	4.94397991434374
256536	4.93908941799667
100287399	4.92679015304622
6983	4.92415268422959
343505	4.91687468418114
23316	4.91294980250298
345275	4.90120509055216
401236	4.89225524924012
100271217	4.89178370321831
119180	4.8854011726343
146556	4.88507310099198
201853	4.8670117399525
3503	4.86061674303184
106480676	4.85442317571438
448834	4.84549005094437
3752	4.82828076091215
389023	4.81868292785912
57535	4.81503081235454
5174	4.8140579406982
90737	4.81057550131751
6833	4.80997910463011
799	4.80649591932851
84084	4.79753586102716
374860	4.79725386529153
7367	4.78710064844164
253970	4.78157612319144
9430	4.76671293756026
3738	4.76487159073609
26279	4.75005559360665
341359	4.74595437739346
117159	4.74462440935609
102723344	4.73075315730105
100874030	4.73051057202891
284424	4.72732907423293
161145	4.71356684187288
2045	4.71336448249927
5267	4.71097038563326
106479383	4.70798652719444
7757	4.70008398024239
1048	4.69499763307284
51761	4.67496179001559
6252	4.67362526197632
117154	4.66177809777199
9248	4.65979773364375
27334	4.65857769548149
100874290	4.64057360578542
400208	4.63178335747415
1280	4.62278856967679
100506409	4.62276035431922
4693	4.62175885670973
645054	4.61738397841353
3118	4.61332511860863
10647	4.61323761896748
150000	4.61061476602965
646300	4.61032656620953
2543	4.59701793931347
729447	4.59494658929378
100420921	4.59494658929378
106481672	4.57994442595453
256394	4.57154198495883
64377	4.56450917556908
389816	4.55957139864666
6542	4.55123109166395
5239	4.54463723241715
84076	4.54432051622381
100288042	4.54432051622381
653509	4.51832530769087
400591	4.51832530769087
646442	4.51593871485399
643355	4.50514991894313
105376609	4.50514991894313
101927973	4.5033104503261
5948	4.49851682661069
389376	4.4971208157043
54544	4.4934238042049
100287879	4.47843258056735
389033	4.47712717100078
283897	4.47590227584235
5126	4.47441850299365
26628	4.47316684657102
10599	4.46488604872941
319089	4.46348298123743
346562	4.44968364208574
645974	4.44662384233668
55530	4.4451994697891
79339	4.44166733916146
219445	4.4374053123073
390610	4.4374053123073
57580	4.43499607719578
130106	4.43086246644053
100132735	4.41096164401293
646913	4.40719638895323
282763	4.40714409712121
2046	4.405344103075
1473	4.405344103075
101928580	4.39993060688863
101929397	4.39040783277013
253314	4.38801728534513
728342	4.37906887548134
100873904	4.37068740680722
100133093	4.35568478326356
149775	4.35357372150383
489	4.34618674655589
5521	4.34311167223193
6557	4.33493715544923
863	4.32871189519136
64084	4.31289142729843
101410537	4.30175021294973
100887749	4.29996004278365
150	4.29118006020767
9211	4.29060085003882
3263	4.28681124176566
2867	4.2789708942757
441843	4.27094416616856
27146	4.2690558216046
55024	4.26876726392409
103352670	4.26704674360676
111	4.26582984633565
64579	4.2560401592309
642394	4.25084499682588
260434	4.24662418170544
101927396	4.23681148124941
79167	4.22881869049588
100271087	4.22062455845644
374462	4.20394402185685
2690	4.20185164289561
126410	4.19327111181678
11283	4.19055790078699
27290	4.18728862038053
221692	4.18084964585683
643161	4.17927045082014
253190	4.1784527994817
341116	4.1632303488683
146852	4.15949762999197
101927722	4.14635653030391
22977	4.14434139173698
11045	4.13988882284714
101927821	4.13418181635781
7173	4.13027832229033
26353	4.12971532830241
285577	4.12928301694497
140683	4.12719265911842
728763	4.12615691595825
3882	4.11837164258445
6315	4.11200502551313
390311	4.09451759878429
8778	4.09451759878429
102724097	4.0919562220957
644623	4.09158230775974
142683	4.07681559705083
149954	4.06775259920688
8911	4.066547261597
644919	4.05889368905357
101929120	4.04800315146443
100288596	4.03575719025563
400794	4.02236781302845
79782	4.01699531921212
101929441	4.01657617521869
152330	4.01631559632502
101927305	4.01530442050589
100128723	4.01308999944044
55510	4.01260003677963
128178	4.00068739512489
4685	3.99563553992305
1472	3.99164880837761
146395	3.98850436116217
643219	3.98597743313313
2003	3.98489310760979
7547	3.98235984086427
100505993	3.97894874386053
100129516	3.97769247570201
57094	3.97727992349992
101927590	3.97537033349129
5596	3.97391216554549
1428	3.97289014962709
26011	3.96704925189866
6677	3.96578428466209
283310	3.96578428466209
100131138	3.9614341347858
102723641	3.95613411462837
645548	3.95044696159526
142685	3.94641895979516
124221	3.93632131548744
140876	3.935523069476
399	3.92493980243953
348120	3.92396410896746
138971	3.92018741822198
100506195	3.91687468418114
25924	3.91448479676402
2359	3.91052917267187
124842	3.90989308377004
51655	3.90825081016011
147381	3.907279619486
390445	3.90689059560852
100132166	3.90689059560852
23614	3.90689059560852
106480743	3.90689059560852
387778	3.9017713063119
101243545	3.90165394724237
54959	3.90061527018203
2914	3.89804105833084
2679	3.89635643300813
9619	3.89617788663606
83657	3.89416731467615
100533665	3.8934700798462
54674	3.8860118659326
9543	3.88521182495087
144110	3.88097778520078
113220	3.87761817704169
25803	3.86887984552163
5301	3.86624861111117
442245	3.86624861111117
400823	3.85480208446006
7032	3.85293815752779
9431	3.85128634255356
101927282	3.84549005094437
1769	3.83850362062827
102724392	3.83333398863844
199920	3.82841228266996
5276	3.82442843541655
170529	3.82442843541655
100507428	3.82442843541655
124872	3.82412531638173
51195	3.8146876267648
145837	3.80998854410324
58158	3.8073549220576
653108	3.80684968827871
4036	3.80432086196797
130813	3.7922480296674
400500	3.78725549222804
60401	3.78583666061115
205272	3.78135971352466
101927990	3.78135971352466
253559	3.77985140701938
170626	3.77785802481311
158521	3.77313920671969
728990	3.76671293756026
149563	3.76348046654452
8435	3.76315511814707
253933	3.75748261150672
22953	3.75418774772693
10974	3.75396620315259
83733	3.74876333282711
1137	3.74819284958946
346689	3.74722349953165
26494	3.73696559416621
219793	3.73374169329192
142827	3.7279204545632
100631247	3.7257978033109
442117	3.721858701776
6549	3.71969100826874
283159	3.71424551766612
92086	3.71097038563326
100418983	3.70659194512269
23217	3.70446781137563
762	3.70119868635247
79570	3.69697351790332
619499	3.69291400473529
105371828	3.69116190455308
51059	3.68650052718322
820	3.68578655637107
202459	3.68477263352162
51481	3.68378373174788
6657	3.67635549516564
56547	3.67556504950206
85285	3.67556504950206
114815	3.67413875671077
5651	3.66375574721243
771	3.66043418879735
100422445	3.65979773364375
791114	3.65344223860392
165679	3.65146074315227
729171	3.64985493039617
151278	3.64385618977472
387601	3.64385618977472
1016	3.64068891069604
170302	3.63203075437794
84530	3.62773652441145
353345	3.62773652441145
340533	3.62309762960793
222537	3.6180795548413
221301	3.61260525579028
642864	3.60733031374961
2944	3.60238130099394
124220	3.59715919906374
3805	3.59494658929378
149628	3.59494658929378
146279	3.59348266725961
646532	3.59334091852048
155185	3.59228724284329
4761	3.58685668936168
8513	3.58463576647882
3494	3.58384888041045
2056	3.58276159252789
103689846	3.58273439982904
6725	3.58015681082734
101929450	3.57826784814715
54886	3.57674199391619
2949	3.57550217147209
347741	3.57490883605723
157310	3.57393217233435
1234	3.56985560833095
101929023	3.56985560833095
81278	3.56985560833095
131034	3.56649189722243
1811	3.56478461878353
120892	3.56371721050488
339479	3.56000970671221
8856	3.55714455658139
116512	3.55458885167764
25823	3.55375335430905
7434	3.55317686718432
107985167	3.54899700343328
319145	3.54432051622381
4897	3.54281779571667
23751	3.54270946631782
347365	3.53905327765706
79933	3.53554437873957
440461	3.53546053930358
2675	3.53482559685621
102723828	3.5347977421053
108	3.5312017638055
79611	3.53018295519778
107133497	3.51832530769087
101928738	3.51707568003293
729101	3.51504272370156
54043	3.51354816742899
3742	3.50514991894313
642460	3.50236937098246
255061	3.50094710688815
27019	3.49663893320976
100271549	3.49595749466241
390081	3.49185309632967
100996345	3.49185309632967
729490	3.48698734115786
64663	3.48624444977126
100133163	3.48555310797394
101928604	3.48419952378624
646085	3.48261094402483
727944	3.48112668973662
79258	3.47243553338014
653042	3.47101959291251
101929080	3.47031993478003
101928340	3.4648860487294
100505996	3.4594316186373
105373054	3.45121111183233
89766	3.45073724254218
26047	3.45040265283617
116933	3.44846050081629
388551	3.44662384233668
100462811	3.4448556167925
440107	3.44355753928889
