"","X14.3.3_beta","X14.3.3_epsilon_Caution","X14.3.3_zeta","X4E.BP1","X4E.BP1_pS65","X4E.BP1_pT37_T46","X4E.BP1_pT70","X53BP1","A.Raf_pS299_Caution","ACC_pS79","ACC1_Caution","Acetyl.a.Tubulin..Lys40._Caution","ACVRL1_Caution","ADAR1","Akt","Akt_pS473","Akt_pT308","alpha.Catenin","AMPK_alpha_Caution","AMPK_pT172","Annexin.1","Annexin_VII","AR","ASNS","ATM","B.Raf_Caution","B.Raf_pS445","Bad_pS112","Bak_Caution","Bap1.c.4","Bax","Bcl.2","Bcl.xL","Beclin_Caution","beta.Catenin","beta.Catenin_pT41_S45","beta.Actin_Caution","Bid_Caution","Bim.CST2933.","Bim.EP1036.","BRCA2_Caution","c.Jun_pS73","c.Kit","c.Met_Caution","c.Met_pY1235","c.Myc_Caution","C.Raf.BD610151._Caution","C.Raf.MP05.739.","C.Raf_pS338","Caspase.7_cleavedD198_Caution","Caspase.8_Caution","Caveolin.1","CD20._Caution","CD31","CD49b","CDK1","Chk1_Caution","Chk1_pS345_Caution","Chk2","Chk2_pT68_Caution","cIAP_Caution","Claudin.7","Collagen_VI","Cyclin_B1","Cyclin_D1","Cyclin_E1","Cyclin_E2_Caution","Di.Ras3_Caution","DJ.1","Dvl3","E.Cadherin","eEF2_Caution","eEF2K","EGFR","EGFR_pY1068_Caution","EGFR_pY1173","eIF4E","eIF4G_Caution","ER.alpha","ER.alpha_pS118","ERCC1_Caution","ERK2_Caution","ETS.1","FASN","Fibronectin","FoxM1","FOXO3a_Caution","FOXO3a_pS318_S321_Caution","FRA1_Caution","G6PD","Gab2","GAPDH_Caution","GATA3","GSK.3.BETA_Caution","GSK3.alpha.beta","GSK3.alpha.beta_pS21_S9","GSK3_pS9","HER2","HER2_pY1248_Caution","HER3","HER3_pY1289_Caution","Heregulin","HSP70_Caution","IGFBP2","INPP4B","IRS1","JAK2","JNK_pT183_Y185","JNK2_Caution","Ku80_Caution","Lck","MAPK_pT202_Y204","MDM2_pS166","MDMX_MDM4.BetIHC.00108._Caution","MEK1","MEK1_pS217_S221","MIG.6","Mre11_Caution","MSH2","MSH6_Caution","mTOR","mTOR_pS2448_Caution","MYH11","Myosin.IIa.pS1943","N.Cadherin","N.Ras","NDRG1_pT346","NF.kB.p65_pS536_Caution","NF2_Caution","Notch1","P.Cadherin_Caution","p14.Arf.BetA300.340A._Caution","p21","p27","p27_pT157_Caution","p27_pT198","p38.alpha.MAPK","p38_MAPK","p38_pT180_Y182","p53_Caution","p62.Lck.ligand_Caution","p70S6K","p70S6K_pT389","p90RSK_Caution","p90RSK_pT359_S363_Caution","p90RSK_pT573_Caution","PAI.1","PARP_cleaved_Caution","Paxillin_Caution","PCNA_Caution","PDCD4_Caution","PDK1","PDK1_pS241","PEA15","PEA15_pS116","PI3K.p110.alpha_Caution","PI3K.p85","PKC.alpha","PKC.alpha_pS657_Caution","PKC.delta_pS664","PKC.pan_BetaII_pS660","Porin","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","RAD51","Raptor","Rb_Caution","Rb_pS807_S811","RBM15","Rictor_Caution","Rictor_pT1135","RSK1.2.3_Caution","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2_Caution","SF2","Shc_pY317","SHP.2_pY542_Caution","Smac_Caution","Smad1","Smad3","Smad4","Snail_Caution","Src","Src_pY416_Caution","Src_pY527","STAT3_Caution","STAT3_pY705","STAT5.alpha","Stathmin","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1_Caution","TTF1","Tuberin","Tuberin_pT1462","VAV1_Caution","VEGFR2","VHL_Caution","XBP1_Caution","XRCC1_Caution","YAP_Caution","YAP_pS127_Caution","YB.1","YB.1_pS102"
"SKBR3_BREAST",0.015601,-0.091447,-0.467631,-0.567217,-0.186053,0.201317,-0.241644,-0.517487,0.242458,-0.716814,-0.537615,0.289233,0.271283,-0.033678,0,3.330312,2.330268,-0.33801,-0.434621,-0.999354,-1.502665,0.480701,-0.205871,-0.548559,-0.441775,0.02838,0.398138,-0.121293,0.021985,-0.544364,-0.255932,-0.169126,0.380228,-0.088126,-3.289585,-0.090322,-0.233967,-0.06557,-0.529833,-0.26942,0.28828,-0.054728,-0.053942,-0.444661,-0.149144,-0.574327,-0.22239,-0.412906,0.00779,0.606872,0.038614,-2.447415,0.23542,0.127823,-0.399636,-0.271286,-0.262535,0.019647,0.391772,0.05776,-0.061536,1.801384,-0.442537,-0.626946,-0.292992,0.881898,0.016882,-0.018246,0.113626,-0.300042,-1.310288,0.97203,0.245428,0.346643,2.635022,0.052353,0.363193,0.039805,0.004014,0.02932,0.075129,0.396358,0.464974,3.16141,0.631367,-0.050035,-0.095241,0.0946,-0.669731,3.154447,-0.832533,1.713715,0.821341,-0.187539,0.099276,1.31245,0.837637,4.503562,3.835022,0.930605,0.721983,-0.063168,-0.066709,-0.389213,0.022183,-0.382391,-0.190775,0.559993,0.249315,-0.592077,-0.607486,0.77466,0.211885,-0.21237,-0.611258,-0.205075,-0.2336,-0.027331,-0.371407,-0.51709,0.129345,0.497209,-0.249109,0.213434,-0.089501,0.04776,2.058069,0.80662,0.11572,-0.191065,-0.342561,0.690467,0.252461,-0.101664,0.12657,-0.348065,-0.093508,-0.190787,0.230793,0.445315,-0.346556,-0.542753,0.627134,0.200468,0.172473,0.69031,1.471011,0.099254,-0.841561,-0.099571,-0.736467,0.177969,0.32271,0.257441,0.82711,-0.05318,-0.618882,-0.428501,-0.183192,0.847461,1.034502,1.491113,-0.007745,0.706898,1.011012,2.77562,0.068882,1.894082,-0.656638,0.077646,0.454802,-0.112983,-0.338867,-0.573615,-0.449438,0.244941,0.231296,1.769484,2.092122,0.07644,-0.009692,-0.583069,0.562785,0.163433,-0.747491,0.600131,-0.048758,-0.238006,0.035466,0.302702,-0.004279,0.252625,1.588955,0.248928,0.521292,-0.310197,1.130947,-0.232657,1.295557,-0.238931,-0.298466,-0.525027,0.256446,-0.425887,0.649567,0.415771,0.882994,3.193392,0.402626,-0.114412,-0.156643,-0.440602,-0.082644,-0.032807
"HCC1569_BREAST",0.568279,-0.132711,0.650802,0.306371,0.74847,0.833258,0.510505,-0.858815,0.176606,-0.93746,-1.251823,-0.730846,0.049926,-0.776949,0.336468,3.886389,3.688067,0.047789,-0.284401,-0.827794,0.691273,-0.204072,-0.273251,0,-2.687775,1.010946,0.529599,0.031146,-0.270292,0.000773,-0.133287,-0.242235,0.719764,-0.156803,0.383382,0.220049,0.377566,0.137414,1.026741,0.608874,0.343997,-0.026832,0.581839,0.137063,-0.299166,-0.41644,-0.580249,-0.339596,-0.050824,0.247257,-0.126292,-2.503048,-0.130037,-0.29283,0.021932,2.840894,-0.099572,0.430658,0.580508,0.400137,-0.273282,-0.483237,0.576438,0.909301,0.432725,3.115788,0.122468,-0.141984,-0.392271,0.1492,3.233695,0.671225,0.13888,-0.331955,1.525282,-0.116861,-0.094036,0.262553,-0.035142,-0.285784,0.59058,0.759451,1.165815,-0.381378,2.029307,-0.191296,-0.009739,0.216619,-0.140399,0.192389,-2.398611,2.043653,-0.799286,0.673524,0.53107,1.035541,1.618962,5.952899,4.949479,1.243405,0.273192,-0.267481,0.324807,0.943774,0.170042,-0.022838,-0.357399,-0.137657,0.363318,0.300465,0.684126,0.797597,0.827732,-0.010254,0.189437,0.226468,0.365876,-0.162044,-0.730554,-0.157827,-0.999205,-0.28247,0.533324,0.294449,-0.043531,-0.309577,2.988172,0.43748,0.303172,0.431883,0.366209,1.009266,0.017395,0.016479,0.017275,-0.281376,0.510181,0.70301,0.057988,-0.539496,-0.364658,-0.655786,-0.047959,-0.051493,-0.444438,-0.107506,-0.268453,-0.531823,-0.247138,0.931936,-0.079514,-0.135576,-0.246047,0.340292,2.569935,-0.322601,0.257709,-0.052187,-0.844494,0.002804,-0.289616,0.94957,0.485497,0.533869,0.269435,0.115927,-2.304812,0.09814,-0.384195,0.161473,-0.675973,-0.100812,-0.467109,-0.973402,-0.642352,-0.092333,-0.054403,-0.309427,0.191311,1.002353,0.103994,-0.761674,0.391928,-0.215172,-0.44746,0.021277,0.052654,-0.107621,-0.026944,0.731933,-0.244822,0.272574,-0.200353,-0.120973,-1.668365,-0.459855,-1.775336,-0.03133,1.844477,2.379069,-0.69079,-0.356639,1.087373,-0.613627,0.757252,-0.063235,1.112884,-1.840974,-0.256662,-0.166271,0.600615,1.042674,0.372019,0.10544
"HCC1395_BREAST",-0.130892,0.021921,0.020964,-0.292465,0.61884,0.278003,-0.057549,0.452823,0.278541,-1.21829,-1.30048,1.150549,-0.018107,-0.210781,0.614197,3.366783,2.521027,0.306071,-0.220381,-0.466644,-0.062677,0.216222,-0.0095,0.471702,-1.596426,0.814587,0.476014,0.264592,-0.122011,-0.078933,-1.0861,-0.505634,0.045603,-0.129383,1.531783,-0.103476,-0.641145,-0.127366,-0.738049,-0.595556,0.380943,-0.015885,-0.481782,-0.020458,-0.115954,0.194688,0.276603,0.300317,0.062395,-0.054466,-0.06627,4.047202,-0.130454,-0.115152,-1.103221,0.037259,-0.180543,-0.001742,0.638784,0.417674,-0.135755,-0.591278,0.310478,-0.048736,0.006622,0.337551,0.316353,-0.153691,0.057655,0.033785,-0.758948,0.526281,0.35658,0.393746,-0.440605,-0.196221,-0.158062,0.315762,-0.358171,-0.028446,0.102112,-0.006714,0.726534,-0.376808,2.228261,0.969868,-0.185652,0.074253,1.150079,2.749989,-1.245625,1.617936,-0.065588,-0.263614,-0.202714,0.717826,0.884941,0.61449,-0.254378,-0.462953,-0.006621,0.278567,-0.224078,0.031042,-0.972996,0.55862,0.120923,-0.428223,0.229218,-0.124004,-0.198446,-0.220556,1.330989,-0.137479,0.334954,-0.437194,-0.114813,-0.288619,-0.194581,0.554432,0.080443,0.261224,1.409471,1.608176,0.852863,-0.24565,3.153488,0.028613,1.11902,-0.052718,-0.286169,-0.845478,0.14582,-0.080114,0.052831,-0.049839,-0.018519,-0.063173,-0.712135,1.570629,0.835024,-0.545822,-0.05648,0.52811,0.055135,-0.172694,-1.224593,-0.047613,-0.077784,-0.067157,-0.464038,0.101235,0.224753,0.133857,1.340554,-0.098973,0.386478,0.466599,0.513087,0.135642,-0.209838,-0.246241,-0.470363,0.936286,0.440485,0.35944,-2.858041,-0.521072,-0.404585,0.439045,0.332912,0.238647,0.760353,0.658341,-0.021833,0.444999,0.721544,0.842597,0.913935,-0.03632,-0.848762,0.033625,-0.323275,-0.564402,-0.843909,-0.253941,0.179859,-0.213123,1.243382,-0.06819,-0.168738,-0.131006,1.044002,0.251937,-0.82669,-0.193185,-3.225146,0.672354,0.197671,0.095502,0.284074,-0.139077,1.188199,0.13523,0.442702,-0.868038,0.780056,1.498334,-0.1339,-0.265487,0.25062,0.489959,0.38494,-0.22339
"ZR751_BREAST",0.016493,0.060062,0.012891,0.56067,0.110576,0.709728,0.154407,0.066832,0.583501,0.898735,0.613619,-0.172264,0.189857,0.368861,1.03127,1.042823,1.213646,0.31864,-0.121143,0.42293,-1.186201,0.367072,2.457318,-1.729315,-0.436387,-0.102122,0.188244,-0.177688,-0.024517,-0.144626,-0.318547,1.369441,-0.318108,0.026634,0.240529,0.234993,-0.639078,-0.1061,0.927678,0.5641,0.153046,-0.427049,-0.017257,-0.221514,-0.118579,-0.594055,0.069012,0.111173,-0.098934,-0.036484,-0.219341,-3.028042,-0.035129,0.408795,0.573312,-0.084273,-0.783638,-0.225902,0.230453,-0.118518,0.033371,3.300933,-0.091949,-0.839565,-0.256756,-0.046064,0.002071,0.013638,0.497395,-0.300883,3.926655,-0.508693,0.114349,-1.194442,-0.321155,-0.170491,0.243548,-0.836231,3.868138,0.711574,0.133624,0.149115,-0.324129,2.745838,-1.110566,-0.248447,0.158511,-0.121059,-0.739821,1.529558,-1.025449,1.617614,3.664128,0.098829,0.105149,0.26357,-0.036163,1.246305,0.419732,0.72568,-0.206603,0.07153,0.193221,0.939107,0.548952,0.097096,-0.339259,0.046379,0.40087,-0.381094,-0.776992,0.323188,0.048274,0.038111,-0.17921,-0.171902,-0.261561,0.032228,-0.079509,-0.378543,0.377023,0.206494,-0.593239,-0.903812,-0.436111,0.129205,-0.736655,-0.803852,0.266497,-0.313484,0.024982,-0.54522,0.790021,0.661249,0.374526,-0.162286,0.063903,0.08406,0.013827,-0.299308,-0.359248,0.346245,0.16704,0.158531,-0.012545,0.299496,-0.457147,0.318241,-0.57196,-0.197019,2.725867,0.598273,0.832735,-0.119565,-0.076197,-0.211154,-0.086831,-0.761861,-1.086536,-0.146862,-0.180334,-1.231896,0.394416,-0.221465,0.393688,2.75815,-1.163806,1.711758,-0.478117,-0.044458,0.447409,-0.319539,-0.730438,-0.066449,-0.027242,-0.16181,0.417719,-0.689886,-0.549643,1.922764,-0.0228,-0.089182,0.534935,0.036709,0.043083,0.235888,-0.256864,0.064541,-0.156315,0.073443,-0.51963,0.489294,0.453915,-0.302481,-0.766883,-0.134043,1.436378,-0.670001,-1.439001,-0.144605,-0.336869,0.007257,-0.365869,0.148687,0.135892,0.475625,0.39304,3.437282,0.021247,0.361482,-0.548018,-1.669676,-0.182761,-0.312168
"HCC70_BREAST",0.089176,-0.147475,0.519956,-0.710778,-0.420148,-0.727408,-0.4834,-0.534111,-0.192914,0.600567,-0.073123,-0.424404,0.072787,-0.217123,-0.115866,2.319838,1.601606,0.2525,-0.001719,0.484576,1.430963,0.05913,0.287661,0.296772,-0.351655,0.496877,0.463956,0.278863,-0.153547,-0.348963,0.353723,-0.558142,0.256796,-0.245366,1.062193,0.281362,0.091091,0.012863,0.880591,0.631759,-0.157506,-0.395282,1.411648,-0.332776,-0.182841,-0.591833,-0.588948,-0.387401,-0.06867,0.096374,0.011828,-1.687904,0.187708,-0.295226,0.92118,-0.465261,-0.182075,0.547804,0.704919,0.043321,-0.346148,4.664493,-0.137919,-0.161988,0.133374,-0.535835,1.044652,-0.162018,0.081242,-0.085256,3.677143,0.264241,0.524108,1.000352,0.635184,-0.076139,-0.25625,-0.324148,-0.346299,0.057676,0.198128,0.981301,0.688821,0.188777,-0.775097,0.566089,0.002695,0.184586,-0.351134,1.376869,-1.852244,0.686714,1.341271,0.171175,0.083782,-0.31324,-0.405054,0.443683,0.206539,0.329003,-0.256363,-0.227062,-0.124789,-1.067036,-0.28172,-0.350017,0.53167,-0.059436,0.062147,-0.591069,2.005318,0.231844,0.63808,-0.286756,0.63623,-0.090908,0.033742,-0.247564,-0.229967,0.059377,0.430573,0.278381,-0.065081,1.326605,0.088514,-0.313627,0.355327,0.769027,0.369354,0.106547,1.195327,3.466546,-1.112718,-0.219487,-0.135178,-0.321222,0.241121,0.604475,0.180292,1.3476,-0.598432,-0.678737,-1.196305,0.828196,-0.361697,0.103962,-0.834127,-0.402214,-0.902137,0.153653,0.828518,0.375993,0.456189,0.119093,1.444735,-0.105385,0.291348,-0.893567,-1.342296,-0.258884,-0.003163,-1.477861,-0.194665,0.220023,0.696251,-0.651981,-3.033858,2.236966,0.022967,0.121838,-0.369594,-0.476769,-1.533025,0.118515,0.43097,0.073042,1.209278,-0.718458,-0.75528,-0.089519,-0.245216,-0.227865,0.55711,0.01179,-0.463217,0.151327,-0.057824,-0.224682,-0.077964,-0.428983,-0.131825,0.016793,0.440527,0.848865,0.403633,0.090784,-0.972925,-0.159668,0.585882,-0.494265,-0.088453,-0.665793,0.415956,-0.24754,0.255492,-0.036784,-0.363257,2.402254,0.042551,-0.56294,-0.33214,-0.460243,-0.160723,-0.287553
"MCF7_BREAST",0.096842,0.050084,0.621212,-0.048572,-0.533673,-0.523235,-0.271543,0.017732,0.288316,0.347661,-0.07053,-0.046149,0.26377,-0.270419,1.036296,-0.218194,-0.299649,0.04685,0.168556,0.581819,-1.13965,0.202967,1.516778,0.239363,-0.886447,-0.238745,0.300839,0.079211,-0.00611,-0.232174,0.221846,1.586752,-0.158139,0.066005,-0.295371,0.143369,-0.5523,0.086001,1.735654,1.455827,0.205176,-0.162127,0.045836,-0.347768,-0.012561,-0.306885,-0.531532,0.319032,-0.083991,0.191296,-0.201031,-2.276951,-0.014522,0.442748,0.647915,0.245894,-0.840504,-0.097702,-0.097563,-0.141184,-0.103681,3.14698,-0.375863,-1.000956,-0.467119,0.210681,0.208757,-0.025521,0.581069,-0.201659,3.720337,-0.059431,0.346694,-1.015906,-0.41787,-0.073197,0.039897,-0.176894,3.277838,0.426867,0.189085,-0.562324,-0.310882,1.744995,-0.880011,-0.356746,0.643702,0.078202,-0.926036,1.943701,0.932715,0.674906,4.848493,0.564119,0.069677,1.097422,0.480054,0.359732,-0.154712,0.762347,0.230561,0.125882,0.342495,1.37616,0.700192,1.337611,-0.205491,-0.158484,0.290125,-0.0942,-0.597003,-0.897126,-0.011369,0.2936,0.086646,-0.548284,-0.32581,0.089246,-0.016914,-0.019973,0.100955,-0.07492,-0.188814,-1.341642,-0.37452,0.42545,0.094127,-0.205697,-0.349449,0.013732,-0.08243,-0.752088,-0.000938,0.548527,0.281566,0.185071,0.069664,0.16907,-0.465572,0.000895,-0.538293,2.885258,0.450812,0.220749,-0.121897,-0.494824,-0.430034,-0.187926,-0.276718,0.068361,0.906083,0.506557,0.665711,-0.338925,-0.144917,0.036324,0.112828,-0.392765,-0.311538,-0.139979,-0.5325,-1.197751,0.173521,-0.255489,0.397902,2.56769,0.998188,1.379615,-0.248594,-0.333504,-0.219355,-0.397333,-1.310171,0.126938,-0.239877,0.204646,0.441034,1.11539,1.05785,0.573748,-0.008104,0.012247,-0.158489,-0.352695,-0.099702,-0.112205,-0.198294,0.204719,0.18144,-0.392293,-0.494138,-0.382213,0.120895,-0.38986,-0.70646,0.039134,0.869514,-0.359344,-0.49,0.138191,-0.000407,0.042543,-0.366095,0.320028,0.298299,0.582362,0.008464,3.46785,0.057642,0.180278,-0.413721,-1.38865,-0.073149,-0.526106
"MDAMB157_BREAST",0.150246,-0.204495,0.566321,-0.079371,1.072124,0.568154,0.335443,0.080541,-0.251585,-0.925418,-0.337557,-0.1434,-0.12576,-0.493691,1.246309,-0.738862,-0.482426,-1.008559,0.332327,-0.219302,-0.220138,-0.604781,-0.4406,-0.829999,-0.531276,0.395856,0.140082,0.17778,-0.022725,0.149297,-0.365859,-0.076815,0.279048,-0.271439,0.051353,0.036555,0.726278,0.057555,-0.018226,-0.081512,-0.108961,0.034771,1.714493,-0.352399,-0.117406,-0.869519,0.446369,1.333527,0.217544,0.712958,0.232743,2.46034,0.186725,-0.209958,-1.113036,-0.416268,-0.270086,0.040694,0.113752,0.627161,-0.384302,0.204278,0.264912,0.448305,1.030846,1.524267,0.075659,-0.051488,0.39332,0.775127,-1.302304,1.097225,-0.112014,0.208496,0.53382,0.083418,-0.335056,-0.021015,-0.404333,-0.056317,0.028925,0.851033,0.739897,-0.363237,2.431802,-0.465713,-0.181348,-0.194289,0.134639,-0.596417,-1.491579,-0.990903,-0.445638,0.013084,-0.060461,0.290668,0.379174,0.452277,0.292184,-0.380987,-0.112709,-0.081808,-0.011439,0.238711,-0.262012,0.905369,0.510602,0.164873,1.516253,-0.042534,-0.166188,0.142557,0.873809,-0.084882,-0.040912,-0.627991,-0.227659,-0.118119,0.109426,1.062023,1.182928,1.017664,-0.207264,-3.421165,0.302577,-0.359734,-0.278306,0.109167,1.051245,-0.416912,-0.302742,1.640803,0.702576,-0.285103,-0.1868,-0.107728,0.277373,0.457683,-0.512911,-0.809537,-0.191182,0.596167,1.009672,-0.157551,-0.210384,-0.298988,0.127158,0.104849,0.668429,0.047299,-0.940306,-0.047262,-0.070561,0.569318,1.718527,-0.127701,0.209982,1.32204,1.110379,0.306905,0,-0.487185,-0.066986,0.141829,-0.391361,-0.323309,0.233211,-0.462825,-0.085009,-0.405881,0.809674,-0.316584,-0.676152,0.543711,0.531113,0.897585,-0.021304,1.207172,1.473119,-0.265204,-0.325369,-0.015246,-0.412467,0.540641,-0.083995,-0.181792,0.490315,-0.156605,0.67212,-0.07662,0.907256,0.207536,0.469883,0.360652,1.654289,-0.086472,-2.165471,0.169143,0.832584,-0.430067,-0.270101,0.269722,0.756541,0.505648,-0.153511,-0.101624,-0.117982,-0.822356,-0.026624,-0.254402,-0.031939,0.281729,0.143557,0.062615
"EFM192A_BREAST",-0.0455,-0.173825,-0.188578,-0.476565,-0.176455,-0.308049,-0.212048,0.184575,0.160984,0.720176,0.382247,-0.434735,-0.217699,-0.304863,0.835202,3.194632,2.216225,0.06741,0.459377,0.855786,-1.452407,-0.17549,0.862241,0.35008,-0.832474,0.76104,0.758356,-0.210757,-0.04134,-0.158057,-0.380702,-0.45786,0.541722,-0.173541,0.19298,0.106088,-0.664205,0.012863,0.204976,0.111656,-0.031616,-0.211168,0.786641,-0.39876,-0.193453,0.00667,-0.003905,-0.001528,0.173761,0.226991,-0.270894,-2.759835,0.160029,-0.026364,-0.573894,-0.157843,-0.399979,0.186949,-0.137664,-0.294344,-0.198129,3.261222,-0.294825,0.253676,-0.19066,-0.075908,0.601286,-0.096632,0.089368,0.097176,3.654276,0.476029,-0.368844,-1.104304,3.060756,-0.016417,0.165161,-0.134042,2.037935,0.084653,0.144683,-0.189489,0.457825,2.329354,-0.733925,0.105779,-0.009209,0.127721,-0.474775,3.321148,-0.885226,0.13202,1.470487,-0.112984,0.409857,1.629473,0.902086,5.117843,4.703067,1.392883,1.378349,-0.086277,0.023631,0.856174,-0.045824,-0.465519,-0.579093,0.102098,0.826765,-0.142851,-0.497136,0.287051,0.943158,-0.213049,-0.061258,-0.064826,-0.331828,-0.108186,-0.479646,-0.172656,0.497914,0.729729,-0.326116,0.493076,-0.042403,-0.09336,-0.498298,0.02568,-0.290524,0.241974,-0.155103,-0.176804,-0.129293,-0.084304,-0.065343,0.292071,-0.088547,0.013624,0.041926,-0.820533,0.329397,1.325916,1.593249,-0.150859,0.006891,0.302169,-0.862101,-0.184114,-0.15703,-0.20998,-0.569108,0.302722,0.395076,0.041973,0.858316,-0.450918,-0.192976,-1.620561,-2.257147,0.38025,0.520133,0.549189,-0.084607,0.681415,0.047232,3.752191,1.050144,0.886047,0.180717,0.05679,0.219348,0.161806,0.519335,-0.622666,0.20548,0.418247,-0.094392,1.218716,1.777055,0.965154,-0.121702,-0.099636,0.274094,0.077161,0.580004,0.171782,-0.115186,-0.327677,-0.111557,-0.352113,0.120841,-0.017709,-0.149505,-0.321736,-0.33096,-0.271572,2.00065,-0.30299,0.106421,-0.084462,-0.230142,-0.552586,0.325409,0.040741,0.378723,0.526471,0.281239,2.736023,-0.02281,0.402162,-0.591205,-1.479194,-0.136761,-0.160195
"MDAMB453_BREAST",0.145301,-0.169095,0.103758,0.204891,0.804726,0.898184,0.317397,0.636707,0.542898,0.389759,0.592005,0.324363,0.21588,-0.144812,1.207527,1.229913,1.420066,-0.516368,-0.45761,-0.904618,-1.189166,-0.017159,3.573788,-0.917327,-0.262793,0.366744,0.318061,-0.555003,0.127263,-0.491698,-0.264825,-0.173832,-0.003259,-0.062822,-2.690852,-0.190111,-0.690703,-0.101815,-0.102203,0.009442,0.12377,-0.239002,-0.075952,-0.045002,0.046633,-0.787609,-0.433486,0.417347,-0.04052,0.039301,-0.159668,-2.380884,-0.037075,0.228863,0.121463,-0.31533,0.674232,0.124766,0.572574,-0.154693,0.404795,2.700245,-0.637016,0.663975,-0.290305,-0.091983,0.558749,-0.001314,0.272676,-0.003488,-0.095809,0.492894,0.420962,-1.090918,-0.344647,0.006578,0.365632,0.61502,0.552833,0.181015,0.233188,-0.252177,-0.266268,1.65996,-0.616472,0.414603,0.079446,-0.105157,-0.879423,4.045092,-1.1,0.635212,3.81135,0.557992,0.356111,-0.492551,-0.487337,1.683912,0.655931,0.849516,0.290004,-0.011614,0.047271,2.176214,0.470256,0.212108,-0.272962,-0.348081,0.174636,0.816551,-0.679519,-0.653925,-0.190886,0.167933,0.123505,-0.424274,-0.029433,0.034476,0.571058,0.674489,0.113439,0.105728,-0.297553,-0.716695,-0.409855,0.049656,-0.239181,-0.361909,0.312155,0.076655,-0.280263,-0.155625,0.61363,0.438948,0.178579,0.041149,0.273381,0.675295,-0.634118,-0.205588,0.083411,0.560284,0.541656,-1.150862,-0.231185,-0.489304,-0.523808,0.127634,-0.628754,0.06765,0.203669,0.152399,0.337025,-0.180775,0.262129,0.069571,0.352763,-0.514965,-1.298202,-0.030843,-0.799722,-1.059197,-0.067829,0.179136,0.183308,0.468989,0.400943,0.994952,0.13029,0.759029,-0.33485,0.401502,0.762,-0.231497,-0.343675,-0.194093,-1.918779,2.035285,2.058878,0.094993,-0.070048,0.35559,-0.038588,-0.163801,-0.220901,0.209154,-0.165045,0.08517,-0.15596,-0.89679,-0.606183,-1.321314,-0.244816,-0.119039,0.202973,0.043886,-1.226997,-0.26904,0.454108,-0.23726,-0.442221,-1.123905,-0.089464,0.282334,0.222013,0.716429,-0.688528,3.207605,0.037408,-0.071883,-0.012378,0.503837,-0.158415,-0.493865
"EFM19_BREAST",-0.042591,-0.276753,-0.177575,-0.733436,-0.072159,-0.530829,-0.640215,0.427052,0.376038,0.778505,1.779656,-2.3e-05,0.264465,0.216854,0.030901,0.778886,-0.166534,0.121534,-0.620155,-0.530879,-1.376692,0.169643,2.392176,-1.229374,-0.539475,-0.316611,-0.069411,-0.523906,0.274488,-0.006069,0.150042,-0.249459,-0.2767,-0.080747,-0.81538,-0.295201,0.228754,-0.06927,0.322451,0.282816,0.162636,-0.293705,1.168028,-0.13086,0.07425,-0.235603,0.30971,-0.030463,0.302854,0.628492,-0.223247,-2.334979,-0.140153,0.246834,-0.572409,-0.410225,0.273267,-0.081539,-0.21239,0.084183,-0.145418,2.360902,-0.582909,-0.550586,-0.252124,0.355018,0.606353,0.045958,-0.973933,-0.108269,3.520232,-0.425157,0.856636,-1.111208,-0.542657,0.040884,0.287213,0.693823,3.80542,0.697976,0.05236,-0.746891,-0.65244,1.040424,0.393737,-0.169398,0.526805,-0.016979,-0.821396,0.117236,-0.812235,-0.924699,3.465663,0.772507,0.191089,0.032312,0.286447,1.417735,0.445831,0.953385,-0.104317,0.040908,0.236133,1.41476,0.561561,0.151116,-0.112116,-0.423515,-0.267507,0.01342,-0.794869,-0.718678,0.0214,0.522339,-0.494289,-0.674942,-0.364061,0.084714,0.73656,0.666166,0.152436,0.154569,-0.23001,-0.723493,-0.539048,0.033939,-0.641025,-1.275488,-0.411781,0.72517,0.609809,-0.635038,0.51865,0.854557,0.277413,0.141836,0.361343,0.694351,-0.93,0.010079,-0.98623,0.777865,0.833782,-0.341783,-0.058786,-0.336195,-0.563899,0.402797,-0.320192,0.120711,0.759178,-0.022221,0.027935,-0.538761,-0.243733,0.077279,-0.111226,-0.814955,-1.518695,0.262136,-0.095023,1.269042,0.213805,-0.066572,0.29797,2.893289,-0.272758,1.412914,-0.285919,0.086001,-0.413363,0.633503,0.555362,0.200106,0.036354,0.077591,-0.286097,0.302115,0.63208,-0.177931,-0.119483,0.461546,-0.227724,-0.443883,0.137991,-0.158365,-0.025152,-0.090515,0.498288,1.07411,-0.617804,0.399266,1.009157,0.100274,0.723829,-0.051737,-1.256402,-0.144058,-0.175134,-0.480352,-0.261169,0.15759,-0.491756,0.447283,0.100056,0.637133,1.100099,4.38315,-0.155046,0.390479,-0.300417,-1.509475,-0.194875,-0.611506
