"","Name","Description","posRNAaverage","negRNAaverage","RPPA_transform_pos","RPPA_transform_neg"
"1","ENSG00000237330.2","RNF223",6.87388888888889,2.88454545454545,-2.47184264728208,-0.478056635669493
"2","ENSG00000248333.3","CDK11B",41.5741666666667,46.3909090909091,-1.53243652814895,0.00937797661400838
"3","ENSG00000008128.18","CDK11A",41.9544444444444,42.4290909090909,-1.52214164596667,-0.0350092612055687
"4","ENSG00000130762.10","ARHGEF16",20.8830555555556,17.6145454545455,-2.09258640688822,-0.313025333606481
"5","ENSG00000158286.8","RNF207",13.3841666666667,17.5872727272727,-2.2955963699218,-0.313330890544202
"6","ENSG00000252404.1","SCARNA16",0,0,-2.657932606729,-0.510374374449098
"7","ENSG00000120948.11","TARDBP",108.916388888889,141.05,0.290652498305217,1.06991518128667
"8","ENSG00000225602.1","MTOR-AS1",0.0191666666666667,0.0154545454545455,-2.657413726619,-0.510201225517723
"9","ENSG00000253085.1","SCARNA11",0,0,-2.657932606729,-0.510374374449098
"10","ENSG00000251866.1","SCARNA21",0,0,-2.657932606729,-0.510374374449098
"11","ENSG00000142632.12","ARHGEF19",15.5194444444444,22.3836363636364,-2.23779011766817,-0.259593610430368
"12","ENSG00000074964.12","ARHGEF10L",11.1516666666667,13.2990909090909,-2.35603462273336,-0.361374626385171
"13","ENSG00000176378.8","PFN1P10",0.167222222222222,0.0763636363636364,-2.65340556576936,-0.50951881502348
"14","ENSG00000215906.4","LACTBL1",0.000833333333333333,0.00181818181818182,-2.65791004672421,-0.510354003986584
"15","ENSG00000188529.10","SRSF10",104.901666666667,145.977272727273,0.181965915266088,1.12511913470157
"16","ENSG00000252190.1","SCARNA17",0,0,-2.657932606729,-0.510374374449098
"17","ENSG00000252691.1","SCARNA18",0,0,-2.657932606729,-0.510374374449098
"18","ENSG00000117713.13","ARID1A",31.205,40.0445454545455,-1.81315066765409,-0.0617251227936253
"19","ENSG00000252947.1","SCARNA1",0.371111111111111,0.358181818181818,-2.64788588459932,-0.506361393333698
"20","ENSG00000252777.1","SCARNA24",0,0,-2.657932606729,-0.510374374449098
"21","ENSG00000175130.6","MARCKSL1",130.666666666667,210.055454545455,0.879476143122684,1.84303534510788
"22","ENSG00000224333.1","GAPDHP20",0.00583333333333333,0.0163636363636364,-2.65777468669552,-0.510191040286466
"23","ENSG00000134684.6","YARS",79.5922222222222,112.117272727273,-0.503211509976229,0.745760011289916
"24","ENSG00000214114.4","MYCBP",30.6522222222222,40.0954545454545,-1.82811547082629,-0.0611547498432132
"25","ENSG00000116990.9","MYCL",2.58638888888889,3.74090909090909,-2.58791387188659,-0.46846214782506
"26","ENSG00000117407.12","ARTN",6.07888888888889,8.54909090909091,-2.49336489184431,-0.41459245970488
"27","ENSG00000187147.13","RNF220",68.4572222222222,85.85,-0.804658293876217,0.451467939339741
"28","ENSG00000229815.1","CCNB1IP1P1",0.00916666666666667,0.00636363636363636,-2.65768444667639,-0.510303077830297
"29","ENSG00000237130.1","MRPS6P2",0.0105555555555556,0.0172727272727273,-2.65764684666842,-0.510180855055208
"30","ENSG00000236973.2","GAPDHP51",0.00944444444444444,0.0618181818181818,-2.6576769266748,-0.509681778723598
"31","ENSG00000162396.5","PARS2",4.41972222222222,3.86363636363636,-2.53828186136571,-0.467087141605316
"32","ENSG00000236646.1","LAMTOR5P1",0.0436111111111111,0.112727272727273,-2.65675196647873,-0.509111405773186
"33","ENSG00000228431.1","ARL5AP3",0.0194444444444444,0.112727272727273,-2.65740620661741,-0.509111405773186
"34","ENSG00000116754.9","SRSF11",161.282222222222,181.480909090909,1.70830063881497,1.52289315622652
"35","ENSG00000171517.5","LPAR3",1.19361111111111,2.60636363636364,-2.62561915987927,-0.481173316434246
"36","ENSG00000143032.7","BARHL2",0.0177777777777778,0.0154545454545455,-2.65745132662698,-0.510201225517723
"37","ENSG00000224678.3","GAPDHP46",0.00833333333333333,0.00272727272727273,-2.65770700668117,-0.510343818755326
"38","ENSG00000233401.1","PRKAR1AP",0.00444444444444444,0.00272727272727273,-2.65781228670349,-0.510343818755326
"39","ENSG00000233125.2","ACTBP12",0.00333333333333333,0.0554545454545455,-2.65784236670987,-0.509753075342399
"40","ENSG00000137936.12","BCAR3",25.0583333333333,29.3036363636364,-1.97955326292772,-0.18206363009934
"41","ENSG00000137962.8","ARHGAP29",35.2833333333333,47.7218181818182,-1.70274200424991,0.0242891551747841
"42","ENSG00000178596.10","GAPDHP29",0.00916666666666667,0.01,-2.65768444667639,-0.510262336905267
"43","ENSG00000252765.1","SCARNA16",0,0,-2.657932606729,-0.510374374449098
"44","ENSG00000270066.2","SCARNA2",2.46555555555556,1.81727272727273,-2.59118507258001,-0.490014097165635
"45","ENSG00000031698.8","SARS",145.646944444444,147.309090909091,1.28502230908942,1.1400404984936
"46","ENSG00000134222.12","PSRC1",28.9630555555556,40.6272727272727,-1.87384460051984,-0.0551963895576573
"47","ENSG00000224699.4","LAMTOR5-AS1",2.37166666666667,1.60818181818182,-2.59372683311881,-0.492356700354828
"48","ENSG00000134248.9","LAMTOR5",205.005277777778,194.912727272727,2.89197144972676,1.67337994805402
"49","ENSG00000188761.7","BCL2L15",0.413888888888889,3.62727272727273,-2.64672780435383,-0.46973530173223
"50","ENSG00000231072.1","GAPDHP64",0.0025,0.00454545454545455,-2.65786492671465,-0.510323448292812
"51","ENSG00000116874.7","WARS2",7.89861111111111,9.16727272727273,-2.44410136140155,-0.407666502449875
